subjectID,0,1,2,3,4
E002338,0,1,0,0,0
E002473,0,1,0,1,0
E004071,0,1,1,0,1
E004781,0,0,1,1,0
E004934,0,0,0,1,0
E005804,0,0,1,0,0
E006871,0,0,1,0,0
E007303,1,0,0,1,0
E007743,0,0,0,1,0
E007980,1,0,1,0,1
E008241,1,1,0,0,0
E008437,0,0,0,0,1
E008643,1,1,0,1,0
E009667,0,0,0,0,1
E009676,0,0,0,1,1
E011183,1,1,1,1,0
E012115,0,0,0,1,0
E012124,1,1,1,0,0
E012393,0,1,1,1,1
E012678,0,0,1,1,1
E013394,1,0,0,0,0
E015208,0,1,0,1,0
E015378,1,0,1,0,0
E015991,0,0,0,1,1
E016148,1,1,0,1,0
E016870,1,1,0,0,0
E017049,1,0,0,1,0
E018421,0,0,0,0,1
E018574,0,1,0,0,1
E019187,0,1,1,1,0
E019349,0,0,0,1,1
E019793,1,0,0,0,0
E020781,0,0,1,1,1
E020808,1,1,0,0,1
E022083,0,1,1,1,1
E022960,0,0,1,0,1
E023535,0,1,0,1,0
E023681,0,1,0,0,1
E024646,0,0,0,1,0
E025671,1,0,0,0,1
E025912,1,0,1,0,0
E025921,0,1,1,0,0
E029310,0,0,1,0,1
E029796,0,1,1,0,0
E030828,0,1,1,0,0
E030933,1,1,0,1,0
E031941,1,0,1,1,0
E033036,0,1,1,1,0
E033156,1,0,1,1,0
P000648,1,1,1,1,0
P004113,0,1,0,0,0
P005558,1,1,0,1,1
P008579,0,1,1,0,1
P009291,1,1,1,0,0
P009746,0,0,1,0,0
P014839,0,0,1,0,0
P015091,1,0,0,0,0
P015163,1,1,0,0,1
P016803,1,0,0,0,0
P019475,1,0,0,0,0
T000094,0,1,0,1,1
T000272,1,1,1,1,0
T000461,0,1,0,1,0
T002534,0,1,0,0,1
T003353,0,0,1,0,0
T003355,0,0,0,0,1
T003950,1,1,1,0,1
T004341,1,0,0,1,0
T005643,0,1,1,0,1
T005999,1,0,1,0,0
T006266,0,0,0,1,0
T006288,0,0,0,0,1
T007748,1,0,0,0,1
T007750,1,0,0,0,0
T008025,0,0,1,1,1
T008246,0,0,0,0,1
T008631,1,0,1,0,1
T009275,0,0,1,1,0
T009280,0,0,1,1,0
T009909,0,0,1,0,0
T010520,0,0,0,1,0
T010532,0,0,1,1,1
T011676,0,1,0,1,1
T012121,1,0,0,1,0
T012138,0,0,1,1,0
T012312,0,0,1,1,1
T012374,0,0,0,1,0
T012389,1,1,1,0,0
T012983,0,0,0,1,0
T013431,1,1,1,0,1
T013832,1,0,0,0,0
T014575,0,0,0,0,1
T014806,0,0,1,0,0
T014827,0,1,0,1,0
T016234,0,1,1,0,0
T016811,1,0,1,0,1
T016812,1,0,1,1,0
T016834,0,0,1,0,0
T017394,1,0,0,1,1
T017419,0,1,1,0,1
T018343,0,0,0,0,1
T019021,1,0,0,0,1
T019031,1,0,1,1,1
T019850,0,1,0,0,0
T019852,0,0,1,1,1
T019853,1,0,1,0,0
T020231,0,0,1,0,0
T021076,1,0,0,0,0
T021613,1,1,0,0,0
T022883,0,1,1,0,1
T023390,1,1,1,0,0
T023909,0,1,1,0,1
T024121,1,0,1,0,0
T025415,0,1,1,1,0
T028183,1,0,0,1,1
T029687,0,0,1,1,1
